,k-means,lwea,monti,mv
0,[  8.33415078e-01   2.81436355e+03   2.14041938e-01  -2.71254967e-02],[  1.65000066e-01   5.96833872e+01   2.96861982e-02  -9.15547362e+01],[  7.93672362e-01   1.97619844e+03   7.76993946e-02  -1.21363648e+00],[  8.08850472e-01   2.69469074e+03   1.96749500e-01  -5.55859247e-02]
1,[  8.46700389e-01   3.45318332e+03   6.87174013e-02  -1.54325990e-02],[  5.98158147e-01   8.46339034e+02   2.26058058e-02  -1.01314147e+00],[  2.62189424e-01   8.07133609e+01   2.82195881e-02  -1.05147759e+01],[  8.27178584e-01   3.35860582e+03   6.38336951e-02  -5.22146583e-02]
2,[  7.94782292e-01   2.31199067e+03   7.63835464e-02  -3.97049850e-02],[  7.57573651e-01   1.72463666e+03   5.71453082e-02  -2.41479833e-01],[  2.84978421e-01   6.97612418e+01   1.80874834e-02  -9.48784209e+00],[  7.94782292e-01   2.31199067e+03   7.63835464e-02  -3.97049850e-02]
3,[  8.92728016e-01   7.31363522e+03   4.24045042e-02   0.00000000e+00],[  2.75298221e-01   9.12403930e+01   3.41455043e-02  -4.84983914e+01],[  8.73439531e-01   5.07621304e+03   3.05777714e-02  -4.87886300e-01],[  8.60599302e-01   6.99050302e+03   4.90549198e-02  -3.98376977e-02]
4,[  7.62430684e-01   3.83270849e+03   3.82242883e-02  -8.44693729e-02],[  3.32467396e-01   5.21204081e+02   1.89759614e-02  -1.99816458e+00],[  3.08548292e-01   8.48916534e+01   2.10953321e-02  -7.63917810e+00],[  7.62430684e-01   3.83270849e+03   3.82242883e-02  -8.44693729e-02]
5,[   0.49064342  298.13530628    0.35863038  -17.98202433],[   0.41241835  164.52351476    0.30609395 -137.20488776],[  3.17188611e-01   1.25475933e+02   1.18618303e-01  -4.12033181e+01],[   0.22915595  115.12420233    0.21153298  -27.96245055]
6,[  5.52591945e-01   5.60399924e+02   3.14905604e-01  -1.44248942e+00],[  2.92568812e-01   2.54148757e+02   1.28275397e-01  -2.60812737e+00],[  0.29267599  84.0241429    0.12519436  -8.79690226],[  4.90862601e-01   4.30902533e+02   2.05051336e-01  -1.26896022e+00]
7,[  6.10900270e-01   3.82457742e+02   1.55370949e-05  -7.29159438e-05],[  4.41655126e-01   1.24991559e+02   8.34393220e-06  -3.62272819e-04],[ -1.63533391e-02   2.01658336e-01   9.11336611e-06  -1.77430238e-03],[  4.74722947e-01   2.43873807e+02   1.17054503e-05  -1.31376473e-04]
8,[  5.71138194e-01   5.61815658e+02   1.12136275e-03  -1.33113389e-02],[  2.84520162e-01   1.52892856e+02   1.03234458e-03  -4.73010825e-02],[  2.13043632e-01   4.24611848e+01   1.09634977e-03  -8.87385902e-02],[  5.44702109e-01   5.34829130e+02   2.46151375e-03  -1.12468468e-02]
