,sil,ch,gd41,os
k-means,0.6067928705781251,1618.7859673998441,0.03841946373109374,1.3283504902593748
lwea,0.380189752384375,764.3325973653123,0.02027030152098438,4.360718946285942
monti,0.608743875109375,782.1350688217186,0.04350059874828126,8.228965758337502
monti-fixed,0.6059098067343751,1617.7097590017188,0.03925527667656252,1.3315959085250002
mv,0.6097479324999999,1299.3249567889056,0.029591176089687494,1.630093172190625
