k-means,lwea,monti,monti_fixed,mv
[  7.13298526e-01   2.19567953e+03   2.03663025e-02   3.04395995e-01],[  6.02257062e-01   1.45489059e+03   1.53753813e-02   7.00886321e-01],[  6.70825093e-01   4.50948316e+02   4.56199712e-02   7.56847569e+00],[  7.13298526e-01   2.19567953e+03   2.03663025e-02   3.04395995e-01],[  6.57060109e-01   1.98397184e+03   2.16825597e-02   4.96567239e-01]
[  6.83250249e-01   1.51219573e+03   4.00091449e-02   3.38597883e-01],[  6.83250249e-01   1.51219573e+03   4.00091449e-02   3.38597883e-01],[  6.94958218e-01   7.50751560e+02   1.05846173e-02   2.64284589e-01],[  6.83250249e-01   1.51219573e+03   4.00091449e-02   3.38597883e-01],[  6.66515884e-01   1.47176290e+03   3.64721593e-02   3.91133922e-01]
[  7.24399733e-01   1.38370157e+03   3.47517475e-02   2.88113751e-01],[  7.24399733e-01   1.38370157e+03   3.47517475e-02   2.88113751e-01],[  5.50794807e-01   3.97452080e+02   7.56084177e-03   5.51344811e+00],[  7.24399733e-01   1.38370157e+03   3.47517475e-02   2.88113751e-01],[  7.00348041e-01   1.31945749e+03   3.57906774e-02   2.51236408e-01]
[  6.34791030e-01   1.10542639e+03   5.72400891e-02   1.15096746e+00],[  4.64259355e-01   3.43346909e+02   2.00299560e-02   3.64407342e+00],[  6.55239312e-01   3.98119629e+02   3.82070105e-02   9.77518982e+00],[  6.34791030e-01   1.10542639e+03   5.72400891e-02   1.15096746e+00],[  7.12341349e-01   9.37924409e+02   6.61257907e-02   1.56340863e-01]
[  7.26245670e-01   2.09505972e+03   2.84323933e-02   3.34862738e-01],[  6.31375959e-01   1.59154972e+03   2.29649413e-02   6.86084439e-01],[  7.21471885e-01   6.21245093e+02   1.11523147e-02   6.81731919e+00],[  7.26245670e-01   2.09505972e+03   2.84323933e-02   3.34862738e-01],[  6.69269812e-01   1.46017245e+03   2.20345980e-02   2.66450693e-01]
[  5.04313099e-01   1.10482796e+03   5.29077049e-02   3.52034442e+00],[  3.06155919e-01   3.07565706e+02   2.53001777e-02   7.10677478e+00],[  7.85846276e-01   1.24181526e+03   1.05417718e-01   5.73721724e+00],[  5.03426292e-01   1.10460660e+03   5.37502953e-02   3.46488895e+00],[  4.70571445e-01   8.08357860e+02   4.22029161e-02   2.56970594e+00]
[  7.09564140e-01   1.02346273e+03   5.83816867e-02   2.60989808e-01],[  5.74658013e-01   5.77404642e+02   4.30060991e-02   1.10858430e+00],[  5.48647505e-01   3.07667514e+02   4.58700043e-02   2.09024214e+00],[  7.09564140e-01   1.02346273e+03   5.83816867e-02   2.60989808e-01],[  7.09564140e-01   1.02346273e+03   5.83816867e-02   2.60989808e-01]
[  4.54560414e-01   1.16831609e+03   3.08954048e-02   3.66814579e+00],[  3.02328401e-01   7.66670677e+02   3.37142486e-02   4.15415727e+00],[  7.96746440e-01   1.50532489e+03   5.94218959e-02   8.46025952e+00],[  4.54114512e-01   1.16791356e+03   2.50928524e-02   3.67737678e+00],[  5.63004050e-01   1.15848687e+03   3.67962981e-02   5.76683636e+00]
[  6.27168387e-01   1.59920587e+03   1.60018586e-02   1.22059078e+00],[  6.27168387e-01   1.59920587e+03   1.60018586e-02   1.22059078e+00],[  5.80069829e-01   3.52093739e+02   5.37023291e-02   4.64757147e+00],[  6.27024262e-01   1.59918008e+03   1.42653546e-02   1.19038848e+00],[  6.91837791e-01   1.51094869e+03   4.22289260e-02   2.71211038e-01]
[  5.48888930e-01   1.35329821e+03   2.95010959e-02   1.64012934e+00],[  5.48822496e-01   1.35330970e+03   2.86647003e-02   1.65152436e+00],[  6.41533963e-01   5.05748847e+02   2.94056855e-02   1.61419900e+01],[  5.48888930e-01   1.35329821e+03   2.95010959e-02   1.64012934e+00],[  6.90523444e-01   1.45847993e+03   5.62307888e-02   5.84973244e-01]
[  5.69407279e-01   9.40084795e+02   2.63454438e-02   1.49843708e+00],[  5.69407279e-01   9.40084795e+02   2.63454438e-02   1.49843708e+00],[  5.62127508e-01   2.60384121e+02   2.21885065e-02   2.34899278e+01],[  5.69552526e-01   9.40020956e+02   2.70075912e-02   1.47979598e+00],[  5.49349620e-01   6.71318252e+02   2.07796013e-02   1.16826056e+00]
[  6.55336202e-01   1.68139350e+03   4.98971102e-02   8.25285678e-01],[  6.55336202e-01   1.68139350e+03   4.98971102e-02   8.25285678e-01],[  6.83490450e-01   5.37848192e+02   1.80072108e-02   1.21432821e+01],[  6.55184133e-01   1.68134959e+03   4.84168511e-02   8.26599120e-01],[  6.21916891e-01   9.74481465e+02   3.30427919e-02   1.32547763e+00]
[  6.18395723e-01   1.85034155e+03   3.31434457e-02   1.18013060e+00],[  5.88080486e-01   1.76288461e+03   3.72452216e-02   1.10129323e+00],[  6.11005175e-01   4.83245047e+02   2.77361125e-02   4.41074573e+00],[  6.18434512e-01   1.85053522e+03   3.57438599e-02   1.23400054e+00],[  7.40774911e-01   1.80315743e+03   6.51801854e-02   1.66909228e-01]
[  6.60434999e-01   1.09400878e+03   1.66858539e-02   5.77787032e-01],[  5.72573535e-01   8.88301628e+02   1.43960725e-02   7.99063432e-01],[  4.59180156e-01   2.59186745e+02   3.99662757e-02   7.28762963e+00],[  6.60519051e-01   1.09396723e+03   1.66858539e-02   5.77830026e-01],[  6.00672134e-01   7.05184066e+02   1.41719135e-02   6.18524929e-01]
[  6.99596580e-01   1.27840251e+03   3.57181765e-02   4.33880303e-01],[  6.99596580e-01   1.27840251e+03   3.57181765e-02   4.33880303e-01],[  4.96753732e-01   2.26337354e+02   1.93240328e-02   9.74022255e+00],[  6.99596580e-01   1.27840251e+03   3.57181765e-02   4.33880303e-01],[  6.86643783e-01   1.24857790e+03   3.61760144e-02   4.62320074e-01]
[  6.13715582e-01   2.39193372e+03   2.50105864e-02   1.21016636e+00],[  5.32780727e-01   2.03901893e+03   3.17707924e-02   1.10651231e-01],[  5.47526426e-01   3.61162771e+02   2.70641728e-02   4.13353571e+00],[  6.14523909e-01   2.39259461e+03   3.52293771e-02   1.21581476e+00],[  6.75352632e-01   1.97353582e+03   2.07555004e-02   2.64910512e-01]
[  5.66792686e-01   1.89536838e+03   2.06223626e-02   1.28068824e+00],[  4.66712348e-01   1.64090674e+03   2.97430939e-02   1.42068196e-01],[  5.38647962e-01   3.66842020e+02   3.21581327e-02   3.75261537e+00],[  5.66722954e-01   1.89534617e+03   2.32079369e-02   1.29792527e+00],[  7.01334098e-01   1.75877233e+03   2.45361331e-02   3.71477545e-01]
