k-means,lwea_with_known_n_clusters,monti,monti_fixed,monti_hierarchical,mv
[  7.62598613e-01   1.63011393e+03   8.19026433e-02   1.75126765e-02],[  7.62598613e-01   1.63011393e+03   8.19026433e-02   1.75126765e-02],[  4.79155084e-01   2.12927446e+02   4.13621477e-02   4.31207444e+00],[  7.62598613e-01   1.63011393e+03   8.19026433e-02   1.75126765e-02],[  4.79155084e-01   2.12927446e+02   4.13621477e-02   4.31207444e+00],[  7.62598613e-01   1.63011393e+03   8.19026433e-02   1.75126765e-02]
[  8.06735090e-01   1.95392338e+03   1.04999044e-01   0.00000000e+00],[  8.06735090e-01   1.95392338e+03   1.04999044e-01   0.00000000e+00],[  4.38718096e-01   1.71911648e+02   3.15730611e-02   4.47062437e+00],[  8.06735090e-01   1.95392338e+03   1.04999044e-01   0.00000000e+00],[  4.38718096e-01   1.71911648e+02   3.15730611e-02   4.47062437e+00],[  8.06735090e-01   1.95392338e+03   1.04999044e-01   0.00000000e+00]
[  8.05288472e-01   1.85620926e+03   9.16697280e-02   0.00000000e+00],[  8.05288472e-01   1.85620926e+03   9.16697280e-02   0.00000000e+00],[  4.29811418e-01   1.51689030e+02   4.13684018e-02   4.09461489e+00],[  8.05288472e-01   1.85620926e+03   9.16697280e-02   0.00000000e+00],[  4.29811418e-01   1.51689030e+02   4.13684018e-02   4.09461489e+00],[  8.05288472e-01   1.85620926e+03   9.16697280e-02   0.00000000e+00]
[  6.86760636e-01   2.82384478e+03   3.45498870e-02   5.50546879e-01],[  6.86760636e-01   2.82384478e+03   3.45498870e-02   5.50546879e-01],[  5.94497754e-01   3.82419266e+02   4.54110147e-03   8.11164350e+00],[  6.86760636e-01   2.82384478e+03   3.45498870e-02   5.50546879e-01],[  5.94497754e-01   3.82419266e+02   4.54110147e-03   8.11164350e+00],[  6.86760636e-01   2.82384478e+03   3.45498870e-02   5.50546879e-01]
[  7.26801295e-01   1.82693321e+03   6.48337529e-02   1.49275222e-01],[  7.26801295e-01   1.82693321e+03   6.48337529e-02   1.49275222e-01],[  5.66641597e-01   2.94078207e+02   2.63419999e-02   2.39674588e+01],[  7.26801295e-01   1.82693321e+03   6.48337529e-02   1.49275222e-01],[  5.66641597e-01   2.94078207e+02   2.63419999e-02   2.39674588e+01],[  7.26801295e-01   1.82693321e+03   6.48337529e-02   1.49275222e-01]
[  7.25698039e-01   1.31190220e+03   4.64795988e-02   7.51792905e-02],[  7.25698039e-01   1.31190220e+03   4.64795988e-02   7.51792905e-02],[  4.38357762e-01   2.26693717e+02   3.43105716e-02   1.12614196e+01],[  7.25698039e-01   1.31190220e+03   4.64795988e-02   7.51792905e-02],[  4.38357762e-01   2.26693717e+02   3.43105716e-02   1.12614196e+01],[  7.25698039e-01   1.31190220e+03   4.64795988e-02   7.51792905e-02]
[  7.35821259e-01   1.28839857e+03   5.33419506e-02   5.56605183e-02],[  7.35821259e-01   1.28839857e+03   5.33419506e-02   5.56605183e-02],[  4.31156107e-01   1.52963030e+02   4.02464598e-02   2.87547511e+01],[  7.35821259e-01   1.28839857e+03   5.33419506e-02   5.56605183e-02],[  4.31156107e-01   1.52963030e+02   4.02464598e-02   2.87547511e+01],[  7.35821259e-01   1.28839857e+03   5.33419506e-02   5.56605183e-02]
[  7.92523780e-01   2.03343230e+03   8.77617187e-02   0.00000000e+00],[  7.92523780e-01   2.03343230e+03   8.77617187e-02   0.00000000e+00],[  4.72963007e-01   2.67945688e+02   4.71313546e-02   6.68424666e+00],[  7.92523780e-01   2.03343230e+03   8.77617187e-02   0.00000000e+00],[  4.72963007e-01   2.67945688e+02   4.71313546e-02   6.68424666e+00],[  7.92523780e-01   2.03343230e+03   8.77617187e-02   0.00000000e+00]
[  6.57646528e-01   1.21810385e+03   8.92894704e-02   5.00704954e-01],[  6.57646528e-01   1.21810385e+03   8.92894704e-02   5.00704954e-01],[  4.52560399e-01   2.01019869e+02   4.82960669e-02   7.20731237e+00],[  6.57646528e-01   1.21810385e+03   8.92894704e-02   5.00704954e-01],[  4.52560399e-01   2.01019869e+02   4.82960669e-02   7.20731237e+00],[  6.57646528e-01   1.21810385e+03   8.92894704e-02   5.00704954e-01]
[  7.94810501e-01   1.71849124e+03   1.08630845e-01   0.00000000e+00],[  7.94810501e-01   1.71849124e+03   1.08630845e-01   0.00000000e+00],[  3.69814130e-01   1.49660887e+02   3.89194570e-02   9.05413610e+00],[  7.94810501e-01   1.71849124e+03   1.08630845e-01   0.00000000e+00],[  3.67953246e-01   1.49873629e+02   3.82699951e-02   8.97507092e+00],[  7.94810501e-01   1.71849124e+03   1.08630845e-01   0.00000000e+00]
