,sil,ch,gd41,os
k-means,0.607 ± 0.111,1618.786 ± 855.850,0.038 ± 0.038,1.328 ± 0.930
lwea,0.380 ± 0.166,764.333 ± 568.652,0.020 ± 0.013,4.361 ± 9.501
monti,0.609 ± 0.128,782.135 ± 1056.082,0.044 ± 0.036,8.229 ± 7.225
monti_fixed,0.606 ± 0.111,1617.710 ± 855.793,0.039 ± 0.038,1.332 ± 0.920
mv,0.610 ± 0.125,1299.325 ± 926.113,0.030 ± 0.019,1.630 ± 3.218
